"UniversityNorm","DistinctCountries","CountryBreakdown","MajorityCountry","MajorityCount","Rows","Lenders"
"georgia institute of technology","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"columbia university","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"duke university","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"harvard university","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"johns hopkins university","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"cornell university","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"university of chicago","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"massachusetts institute of technology","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"northwestern university","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"new york university","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"princeton university","10","united states of america:10","united states of america","10","10","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"university of wisconsin madison","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | State Bank of India | Union Bank of India | Yes Bank"
"california institute of technology","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"university of california berkeley","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"university of texas at austin","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"university of california los angeles","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"boston university","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Leapfinance | Mpower | Prodigy | State Bank of India | Union Bank of India | Yes Bank"
"carnegie mellon university","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"university of california san diego","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"university of pennsylvania","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"university of illinois at urbana champaign","9","united states of america:9","united states of america","9","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
