"UniversityNorm","RawNameVariants","RawNames","Rows","Lenders"
"university of nevada reno","3","University of Nevada Reno || University of Nevada, Reno || University of Nevada-Reno","3","Bank of India | Mpower | Prodigy"
"university of missouri kansas city","3","University of Missouri Kansas City || University of Missouri, Kansas City || University of Missouri-Kansas City","3","Bank of India | Mpower | Prodigy"
"university of california los angeles","2","University of California Los Angeles || University of California, Los Angeles","9","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Punjab National Bank | State Bank of India | Union Bank of India | Yes Bank"
"humboldt universitat zu berlin","2","Humboldt Universitat zu Berlin || Humboldt-Universitat zu Berlin","8","Bank of Baroda | Bank of India | Indian Overseas Bank | Prodigy | State Bank of India | Union Bank of India | Yes Bank"
"washington university in st louis","2","Washington University in St Louis || Washington University in St. Louis","8","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | State Bank of India | Union Bank of India | Yes Bank"
"university of colorado denver","2","University of Colorado Denver || University of Colorado, Denver","7","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Yes Bank"
"university of maryland baltimore county","2","University of Maryland Baltimore County || University of Maryland, Baltimore County","7","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Yes Bank"
"missouri university of science and technology","2","Missouri University of Science & Technology || Missouri University of Science and Technology","7","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Prodigy | Yes Bank"
"university of missouri columbia","2","University of Missouri Columbia || University of Missouri, Columbia","6","Bank of India | Indian Overseas Bank | Mpower | Union Bank of India | Yes Bank"
"hong kong university of science and technology","2","Hong Kong University of Science & Technology || Hong Kong University of Science and Technology","6","Bank of Baroda | Bank of India | Indian Overseas Bank | State Bank of India | Yes Bank"
"indiana university bloomington","2","Indiana University - Bloomington || Indiana University Bloomington","6","Bank of Baroda | Bank of India | Indian Overseas Bank | Mpower | Union Bank of India | Yes Bank"
"norwegian university of science and technology","2","Norwegian University of Science & Technology || Norwegian University of Science And Technology","5","Bank of Baroda | Bank of India | Indian Overseas Bank | Yes Bank"
"technion israel institute of technology","2","Technion - Israel Institute of Technology || Technion Israel Institute of Technology","5","Bank of Baroda | Bank of India | Indian Overseas Bank | Yes Bank"
"university of science and technology of china","2","University of Science & Technology of China || University of Science and Technology of China","5","Bank of Baroda | Bank of India | Indian Overseas Bank | Yes Bank"
"university paris saclay","2","University Paris Saclay || University Paris-Saclay","5","Bank of India | Indian Overseas Bank | State Bank of India | Union Bank of India | Yes Bank"
"university of tennessee knoxville","2","University of Tennessee Knoxville || University of Tennessee, Knoxville","5","Bank of Baroda | Bank of India | Mpower | Prodigy | Union Bank of India"
"rutgers university new brunswick","2","Rutgers University - New Brunswick || Rutgers University – New Brunswick","4","Bank of Baroda | Bank of India | Indian Overseas Bank | Yes Bank"
"sofia university st kliment ohridski","2","Sofia University ""St. Kliment Ohridski"" || Sofia University St Kliment Ohridski","4","Bank of India | Indian Overseas Bank | Yes Bank"
"universidade de brasilia unb","2","Universidade de Brasilia (UnB) || Universidade de Brasilia UNB","4","Bank of India | Indian Overseas Bank | Yes Bank"
"umm al qura university","2","Umm Al Qura University || Umm Al-Qura University","4","Bank of India | Indian Overseas Bank | Yes Bank"
"pontificia universidade catolica do rio de janeiro puc rio","2","Pontificia Universidade Catolica do Rio de Janeiro (PUC - Rio) || Pontificia Universidade Catolica do Rio de Janeiro PUC-RIO","4","Bank of India | Indian Overseas Bank | Yes Bank"
"philipps universitat marburg","2","Philipps Universitat Marburg || Philipps-Universitat Marburg","4","Bank of India | Indian Overseas Bank | Yes Bank"
"university of agriculture faisalabad","2","University of Agriculture Faisalabad || University of Agriculture, Faisalabad","4","Bank of India | Indian Overseas Bank | Yes Bank"
"vietnam national university hanoi","2","Vietnam National University Hanoi || Vietnam National University, Hanoi","4","Bank of India | Indian Overseas Bank | Yes Bank"
"ruhr universitat bochum","2","Ruhr Universitat Bochum || Ruhr-Universitat Bochum","4","Bank of India | Indian Overseas Bank | Yes Bank"
"rheinische friedrich wilhelms universitat bonn","2","Rheinische Friedrich Wilhelms Universitat Bonn || Rheinische Friedrich-Wilhelms-Universitat Bonn","4","Bank of India | Indian Overseas Bank | Yes Bank"
"universidade estadual de campinas unicamp","2","Universidade Estadual de Campinas (Unicamp) || Universidade Estadual de Campinas UNICAMP","4","Bank of India | Indian Overseas Bank | Yes Bank"
"university of naples federico 2","2","University of Naples Federico 2 || University of Naples, Federico 2","4","Bank of India | Indian Overseas Bank | Union Bank of India | Yes Bank"
"university of roma tor vergata","2","University of Roma Tor Vergata || University of Roma, Tor Vergata","4","Bank of India | Indian Overseas Bank | Yes Bank"
"university of chemistry and technology prague","2","University of Chemistry and Technology Prague || University of Chemistry and Technology, Prague","4","Bank of India | Indian Overseas Bank | Yes Bank"
"university of electronic science and technology of china","2","University of Electronic Science & Technology of China || University of Electronic Science and Technology of China","4","Bank of India | Indian Overseas Bank | Yes Bank"
"university of milano bicocca","2","University of Milano Bicocca || University of Milano-Bicocca","4","Bank of India | Indian Overseas Bank | Yes Bank"
"university at albany suny","2","University at Albany SUNY || University at Albany--SUNY","4","Bank of Baroda | Bank of India | Indian Overseas Bank | Yes Bank"
"universidade federal de sao paulo unifesp","2","Universidade Federal de Sao Paulo (UNIFESP) || Universidade Federal de Sao Paulo UNIFESP","4","Bank of India | Indian Overseas Bank | Yes Bank"
"university of kwazulu natal","2","University of Kwazulu Natal || University of Kwazulu-Natal","4","Bank of India | Indian Overseas Bank | Yes Bank"
"university of science and technology beijing","2","University of Science & Technology Beijing || University of Science and Technology Beijing","4","Bank of India | Indian Overseas Bank | Yes Bank"
"universitat duisburg essen","2","Universitat Duisburg Essen || Universitat Duisburg-Essen","4","Bank of India | Indian Overseas Bank | Yes Bank"
"universita vita salute san raffaele","2","Universita Vita Salute San Raffaele || Universita Vita-Salute San Raffaele","4","Bank of India | Indian Overseas Bank | Yes Bank"
"goldsmiths university of london","2","Goldsmiths University of London || Goldsmiths, University of London","4","Bank of India | Indian Overseas Bank | Yes Bank"
"east china university of science and technology","2","East China University of Science & Technology || East China University of Science and Technology","4","Bank of India | Indian Overseas Bank | Yes Bank"
"government college university faisalabad","2","Government College University Faisalabad || Government College University, Faisalabad","4","Bank of India | Indian Overseas Bank | Yes Bank"
"iscte instituto universitario de lisboa","2","ISCTE - Instituto Universitario de Lisboa || ISCTE Instituto Universitario de Lisboa","4","Bank of India | Indian Overseas Bank | Yes Bank"
"huazhong university of science and technology","2","Huazhong University of Science & Technology || Huazhong University of Science and Technology","4","Bank of India | Indian Overseas Bank | Yes Bank"
"daegu gyeongbuk institute of science and technology dgist","2","Daegu Gyeongbuk Institute of Science & Technology DGIST || Daegu Gyeongbuk Institute of Science and Technology (DGIST)","4","Bank of India | Indian Overseas Bank | Yes Bank"
"bar ilan university","2","Bar Ilan University || Bar-Ilan University","4","Bank of India | Indian Overseas Bank | Yes Bank"
"al ahliyya amman university","2","Al Ahliyya Amman University || Al-Ahliyya Amman University","4","Bank of India | Indian Overseas Bank | Yes Bank"
"china university of mining and technology","2","China University of Mining & Technology || China University of Mining and Technology","4","Bank of India | Indian Overseas Bank | Yes Bank"
"chung ang university","2","Chung Ang University || Chung-Ang University","4","Bank of India | Indian Overseas Bank | Yes Bank"
