"Institute","WebsiteCountry","SuggestedCountry_Copilot","Status","InstituteKey","WebsiteCountryCount","SuggestedCountryCount"
"A. T. Still University","United States of America","United States of America","Match","a t still university","1","1"
"Aalborg University","Denmark","Denmark","Match","aalborg university","1","1"
"Aalto University","Finland","Finland","Match","aalto university","1","1"
"Aarhus University","Denmark","Denmark","Match","aarhus university","1","1"
"Abant Izzet Baysal University","United States of America","United States of America","Match","abant izzet baysal university","1","1"
"Abdullah Gul University Kayseri","United States of America","United States of America","Match","abdullah gul university kayseri","1","1"
"Aberystwyth University","United Kingdom","United Kingdom","Match","aberystwyth university","1","1"
"Abilene Christian University","United States of America","United States of America","Match","abilene christian university","1","1"
"Abo Akademi University","Finland","Finland","Match","abo akademi university","1","1"
"Abu Dhabi University","United Arab Emirates","United Arab Emirates","Match","abu dhabi university","1","1"
"Abylkas Saginov Karaganda Technical University","Kazakhstan","Kazakhstan","Match","abylkas saginov karaganda technical university","1","1"
"Acadia University","United States of America","United States of America","Match","acadia university","1","1"
"Acibadem University","United States of America","United States of America","Match","acibadem university","1","1"
"Addis Ababa University","Ethiopia","Ethiopia","Match","addis ababa university","1","1"
"Adelphi University","United States of America","United States of America","Match","adelphi university","1","1"
"Adiyaman University","United States of America","United States of America","Match","adiyaman university","1","1"
"Adnan Menderes University","United States of America","United States of America","Match","adnan menderes university","1","1"
"Afyon Kocatepe University","United States of America","United States of America","Match","afyon kocatepe university","1","1"
"Aga Khan University","United States of America","United States of America","Match","aga khan university","1","1"
"Agri Mountain University","United States of America","United States of America","Match","agri mountain university","1","1"
"Agricultural University of Athens","United States of America","United States of America","Match","agricultural university of athens","1","1"
"Agricultural University of Krakow","United States of America","United States of America","Match","agricultural university of krakow","1","1"
"AgroParisTech","France","France","Match","agroparistech","1","1"
"Ahi Evran University","United States of America","United States of America","Match","ahi evran university","1","1"
"Ahlia University","Bahrain","Bahrain","Match","ahlia university","1","1"
"Ahmadu Bello University","United States of America","United States of America","Match","ahmadu bello university","1","1"
"Ahvaz Jundishapur University of Medical Sciences","United States of America","United States of America","Match","ahvaz jundishapur university of medical sciences","1","1"
"Aichi Medical University","United States of America","United States of America","Match","aichi medical university","1","1"
"Ain Shams University","Egypt","Egypt","Match","ain shams university","1","1"
"Air University Islamabad","United States of America","United States of America","Match","air university islamabad","1","1"
"Aix-Marseille University","France","France","Match","aix marseille university","1","1"
"Ajman University","United Arab Emirates","United Arab Emirates","Match","ajman university","1","1"
"Ajou University","South Korea","South Korea","Match","ajou university","1","1"
"Akdeniz University","United States of America","United States of America","Match","akdeniz university","1","1"
"Akita University","United States of America","United States of America","Match","akita university","1","1"
"Aksaray University","United States of America","United States of America","Match","aksaray university","1","1"
"Al Ain University","United Arab Emirates","United Arab Emirates","Match","al ain university","1","1"
"Al Azhar University","United States of America","United States of America","Match","al azhar university","1","1"
"Al Baha University","United States of America","United States of America","Match","al baha university","1","1"
"Al Balqa Applied University","United States of America","United States of America","Match","al balqa applied university","1","1"
"Al Furat Al Awsat Technical University","United States of America","United States of America","Match","al furat al awsat technical university","1","1"
"Al Imam Muhammad Ibn Saud Islamic University","United States of America","United States of America","Match","al imam muhammad ibn saud islamic university","1","1"
"Al Jouf University","Saudi Arabia","Saudi Arabia","Match","al jouf university","1","1"
"Al Nahrain University","Iraq","Iraq","Match","al nahrain university","1","1"
"Al Quds University Arab University in Jerusalem","United States of America","United States of America","Match","al quds university arab university in jerusalem","1","1"
"Alabama A&M University","United States of America","United States of America","Match","alabama a and m university","1","1"
"Alagappa University","United States of America","United States of America","Match","alagappa university","1","1"
"Albany College of Pharmacy and Health Sciences","United States of America","United States of America","Match","albany college of pharmacy and health sciences","1","1"
"Albany Medical College","United States of America","United States of America","Match","albany medical college","1","1"
"Albert Einstein College of Medicine","United States of America","United States of America","Match","albert einstein college of medicine","1","1"
"Alexandria University","Egypt","Egypt","Match","alexandria university","1","1"
"Alexandru Ioan Cuza University","United States of America","United States of America","Match","alexandru ioan cuza university","1","1"
"Alfaisal University","Saudi Arabia","Saudi Arabia","Match","alfaisal university","1","1"
"Al-Farabi Kazakh National University","Kazakhstan","Kazakhstan","Match","al farabi kazakh national university","1","1"
