"RowNumber","Lender","University","UniversityNorm","CurrentCountry","CurrentCountryNorm","ProposedCountryNorm","Confidence","MajorityCount","SecondCount","Breakdown","Criteria","Source"
"36","Bank of India","Adam Mickiewicz University","adam mickiewicz university","United States of America","united states of america","poland","high","3","1","poland:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"49","Bank of India","AGH University of Krakow","agh university of krakow","United States of America","united states of america","poland","high","3","1","poland:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"77","Bank of India","Al Ahliyya Amman University","al ahliyya amman university","United States of America","united states of america","jordan","high","3","1","jordan:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"141","Bank of India","American University of Beirut (AUB)","american university of beirut aub","United States of America","united states of america","lebanon","high","3","1","lebanon:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"188","Bank of India","Applied Science Private University - Jordan","applied science private university jordan","United States of America","united states of america","jordan","high","3","1","jordan:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"239","Bank of India","Athens University of Economics and Business","athens university of economics and business","United States of America","united states of america","greece","high","3","1","greece:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"314","Bank of India","Bar Ilan University","bar ilan university","United States of America","united states of america","israel","high","3","1","israel:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"382","Bank of India","Ben Gurion University of the Negev","ben gurion university of the negev","United States of America","united states of america","israel","high","3","1","israel:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"704","Bank of India","China University of Mining & Technology","china university of mining and technology","United States of America","united states of america","china","high","3","1","china:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"738","Bank of India","Christian Albrechts Universitat zu Kiel","christian albrechts universitat zu kiel","United States of America","united states of america","germany","high","3","1","germany:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"747","Bank of India","Chung Ang University","chung ang university","United States of America","united states of america","south korea","high","3","1","south korea:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"908","Bank of India","Czech Technical University in Prague","czech technical university in prague","United States of America","united states of america","czechia","high","3","1","czechia:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"915","Bank of India","Daegu Gyeongbuk Institute of Science & Technology DGIST","daegu gyeongbuk institute of science and technology dgist","United States of America","united states of america","south korea","high","3","1","south korea:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"1048","Bank of India","East China University of Science & Technology","east china university of science and technology","United States of America","united states of america","china","high","3","1","china:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"1372","Bank of India","Government College University Faisalabad","government college university faisalabad","United States of America","united states of america","pakistan","high","3","1","pakistan:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"1593","Bank of India","Huazhong University of Science & Technology","huazhong university of science and technology","United States of America","united states of america","china","high","3","1","china:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"1606","Bank of India","Humboldt Universitat zu Berlin","humboldt universitat zu berlin","United States of America","united states of america","germany","high","7","1","germany:7 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"1815","Bank of India","ISCTE Instituto Universitario de Lisboa","iscte instituto universitario de lisboa","United States of America","united states of america","portugal","high","3","1","portugal:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"1874","Bank of India","Jeonbuk National University","jeonbuk national university","United States of America","united states of america","south korea","high","3","1","south korea:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
"1937","Bank of India","Justus Liebig Universitat Giessen","justus liebig universitat giessen","United States of America","united states of america","germany","high","3","1","germany:3 || united states of america:1","Top 3000 as per webometrics.org","https://www.webometrics.org/"
