"Lender name","University","Country / Main Campus","Criteria","Source","Courses","_RowNumber","_UniversityOriginal","_CountryOriginal","_UniversityNorm","_CountryNormOriginal","_CountryNormProposed","_ChangedUniversity","_ChangedCountry","_CountryConfidence","_CountryBreakdown"
"Bank of India","A. T. Still University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","2","A. T. Still University","United States of America","a t still university","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","A. T. Still University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3","A. T. Still University","United States of America","a t still university","united states of america","united states of america","False","False","medium","united states of america:2"
"Bank of Baroda","Aalborg University","Denmark","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM","4","Aalborg University","Denmark","aalborg university","denmark","denmark","False","False","high","denmark:4"
"Bank of India","Aalborg University","Denmark","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","5","Aalborg University","Denmark","aalborg university","denmark","denmark","False","False","high","denmark:4"
"Indian Overseas Bank","Aalborg University","Denmark","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","6","Aalborg University","Denmark","aalborg university","denmark","denmark","False","False","high","denmark:4"
"Yes Bank","Aalborg University","Denmark","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","7","Aalborg University","Denmark","aalborg university","denmark","denmark","False","False","high","denmark:4"
"Bank of Baroda","Aalto University","Finland","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM","8","Aalto University","Finland","aalto university","finland","finland","False","False","high","finland:4"
"Bank of India","Aalto University","Finland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","9","Aalto University","Finland","aalto university","finland","finland","False","False","high","finland:4"
"Indian Overseas Bank","Aalto University","Finland","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","10","Aalto University","Finland","aalto university","finland","finland","False","False","high","finland:4"
"Yes Bank","Aalto University","Finland","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","11","Aalto University","Finland","aalto university","finland","finland","False","False","high","finland:4"
"Bank of India","Aarhus University","Denmark","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","12","Aarhus University","Denmark","aarhus university","denmark","denmark","False","False","high","denmark:4"
"Indian Overseas Bank","Aarhus University","Denmark","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","13","Aarhus University","Denmark","aarhus university","denmark","denmark","False","False","high","denmark:4"
"Union Bank of India","Aarhus University","Denmark","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Management; STEM; and Medical","14","Aarhus University","Denmark","aarhus university","denmark","denmark","False","False","high","denmark:4"
"Yes Bank","Aarhus University","Denmark","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","15","Aarhus University","Denmark","aarhus university","denmark","denmark","False","False","high","denmark:4"
"Bank of India","Abant Izzet Baysal University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","16","Abant Izzet Baysal University","United States of America","abant izzet baysal university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Abdullah Gul University Kayseri","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","17","Abdullah Gul University Kayseri","United States of America","abdullah gul university kayseri","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Aberystwyth University","United Kingdom","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","18","Aberystwyth University","United Kingdom","aberystwyth university","united kingdom","united kingdom","False","False","high","united kingdom:3"
"Indian Overseas Bank","Aberystwyth University","United Kingdom","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","19","Aberystwyth University","United Kingdom","aberystwyth university","united kingdom","united kingdom","False","False","high","united kingdom:3"
