"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"new york university","New York University","10","10","New York University:10"
"northwestern university","Northwestern University","10","10","Northwestern University:10"
"princeton university","Princeton University","10","10","Princeton University:10"
"johns hopkins university","Johns Hopkins University","10","10","Johns Hopkins University:10"
"university of chicago","University of Chicago","10","10","University of Chicago:10"
"columbia university","Columbia University","10","10","Columbia University:10"
"harvard university","Harvard University","10","10","Harvard University:10"
"cornell university","Cornell University","10","10","Cornell University:10"
"duke university","Duke University","10","10","Duke University:10"
"massachusetts institute of technology","Massachusetts Institute of Technology","10","10","Massachusetts Institute of Technology:10"
"georgia institute of technology","Georgia Institute of Technology","10","10","Georgia Institute of Technology:10"
"university of california san diego","University of California, San Diego","9","9","University of California, San Diego:9"
"yale university","Yale University","9","9","Yale University:9"
"university of pennsylvania","University of Pennsylvania","9","9","University of Pennsylvania:9"
"university of michigan","University of Michigan","9","9","University of Michigan:9"
"university of illinois at urbana champaign","University of Illinois at Urbana-Champaign","9","9","University of Illinois at Urbana-Champaign:9"
"stanford university","Stanford University","9","9","Stanford University:9"
"texas a and m university","Texas A&M University","9","9","Texas A&M University:9"
"emory university","Emory University","9","9","Emory University:9"
"university of wisconsin madison","University of Wisconsin-Madison","9","9","University of Wisconsin-Madison:9"
"university of texas at austin","University of Texas at Austin","9","9","University of Texas at Austin:9"
"university of california berkeley","University of California, Berkeley","9","9","University of California, Berkeley:9"
"california institute of technology","California Institute of Technology","9","9","California Institute of Technology:9"
"boston university","Boston University","9","9","Boston University:9"
"northeastern university","Northeastern University","9","9","Northeastern University:9"
"carnegie mellon university","Carnegie Mellon University","9","9","Carnegie Mellon University:9"
"purdue university","Purdue University","8","8","Purdue University:8"
"arizona state university","Arizona State University","8","8","Arizona State University:8"
"university of virginia","University of Virginia","8","8","University of Virginia:8"
"imperial college london","Imperial College London","8","8","Imperial College London:8"
"university of washington","University of Washington","8","8","University of Washington:8"
"monash university","Monash University","8","8","Monash University:8"
"virginia polytechnic institute and state university","Virginia Polytechnic Institute and State University","8","8","Virginia Polytechnic Institute and State University:8"
"virginia commonwealth university","Virginia Commonwealth University","8","8","Virginia Commonwealth University:8"
"university of massachusetts amherst","University of Massachusetts Amherst","8","8","University of Massachusetts Amherst:8"
"george mason university","George Mason University","8","8","George Mason University:8"
"pennsylvania state university","Pennsylvania State University","8","8","Pennsylvania State University:8"
"michigan state university","Michigan State University","8","8","Michigan State University:8"
"university of oxford","University of Oxford","8","8","University of Oxford:8"
"university of rochester","University of Rochester","8","8","University of Rochester:8"
"university of toronto","University of Toronto","8","8","University of Toronto:8"
"university of central florida","University of Central Florida","8","8","University of Central Florida:8"
"university college london","University College London","8","8","University College London:8"
"university of california davis","University of California, Davis","8","8","University of California, Davis:8"
"university of arizona","University of Arizona","8","8","University of Arizona:8"
"university of california santa barbara","University of California, Santa Barbara","8","8","University of California, Santa Barbara:8"
"university of cambridge","University of Cambridge","8","8","University of Cambridge:8"
"university of southern california","University of Southern California","8","8","University of Southern California:8"
"north carolina state university","North Carolina State University","8","8","North Carolina State University:8"
"university of utah","University of Utah","8","8","University of Utah:8"
"university of south florida","University of South Florida","8","8","University of South Florida:8"
"university of north carolina at chapel hill","University of North Carolina at Chapel Hill","8","8","University of North Carolina at Chapel Hill:8"
"university of miami","University of Miami","8","8","University of Miami:8"
"university at buffalo","University at Buffalo","8","8","University at Buffalo:8"
"tufts university","Tufts University","8","8","Tufts University:8"
"university of florida","University of Florida","8","8","University of Florida:8"
"kings college london","Kings College London","8","8","Kings College London:8"
"university of edinburgh","University of Edinburgh","8","8","University of Edinburgh:8"
"university of georgia","University of Georgia","8","8","University of Georgia:8"
"florida international university","Florida International University","8","8","Florida International University:8"
"technical university of munich","Technical University of Munich","8","8","Technical University of Munich:8"
"florida state university","Florida State University","8","8","Florida State University:8"
"university of connecticut","University of Connecticut","7","7","University of Connecticut:7"
"university of sydney","University of Sydney","7","7","University of Sydney:7"
"university of waterloo","University of Waterloo","7","7","University of Waterloo:7"
"university of warwick","University of Warwick","7","7","University of Warwick:7"
"university of technology sydney","University of Technology Sydney","7","7","University of Technology Sydney:7"
"university of california irvine","University of California, Irvine","7","7","University of California, Irvine:7"
"university of manchester","University of Manchester","7","7","University of Manchester:7"
"eth zurich","ETH Zurich","7","7","ETH Zurich:7"
"queen mary university of london","Queen Mary University of London","7","7","Queen Mary University of London:7"
"dartmouth college","Dartmouth College","7","7","Dartmouth College:7"
"university of sheffield","University of Sheffield","7","7","University of Sheffield:7"
"temple university","Temple University","7","7","Temple University:7"
"illinois institute of technology","Illinois Institute of Technology","7","7","Illinois Institute of Technology:7"
"university of western australia","University of Western Australia","7","7","University of Western Australia:7"
"ohio state university","Ohio State University","7","7","Ohio State University:7"
"university of southampton","University of Southampton","7","7","University of Southampton:7"
"london school of economics and political science","London School of Economics and Political Science","7","7","London School of Economics and Political Science:7"
"university of melbourne","University of Melbourne","7","7","University of Melbourne:7"
"rice university","Rice University","7","7","Rice University:7"
"national university of singapore","National University of Singapore","7","7","National University of Singapore:7"
"university of california santa cruz","University of California, Santa Cruz","7","7","University of California, Santa Cruz:7"
"university of houston","University of Houston","7","7","University of Houston:7"
"university of tokyo","University of Tokyo","7","7","University of Tokyo:7"
"university of exeter","University of Exeter","7","7","University of Exeter:7"
"ku leuven","KU Leuven","7","7","KU Leuven:7"
"university of hong kong","University of Hong Kong","7","7","University of Hong Kong:7"
"australian national university","Australian National University","7","7","Australian National University:7"
"university of california riverside","University of California, Riverside","7","7","University of California, Riverside:7"
"university of nebraska lincoln","University of Nebraska-Lincoln","7","7","University of Nebraska-Lincoln:7"
"case western reserve university","Case Western Reserve University","7","7","Case Western Reserve University:7"
"stevens institute of technology","Stevens Institute of Technology","7","7","Stevens Institute of Technology:7"
"rensselaer polytechnic institute","Rensselaer Polytechnic Institute","7","7","Rensselaer Polytechnic Institute:7"
"university of hawaii at manoa","University of Hawaii at Manoa","7","7","University of Hawaii at Manoa:7"
"stony brook university","Stony Brook University","7","7","Stony Brook University:7"
"new jersey institute of technology","New Jersey Institute of Technology","7","7","New Jersey Institute of Technology:7"
"oregon state university","Oregon State University","7","7","Oregon State University:7"
"university of nottingham","University of Nottingham","7","7","University of Nottingham:7"
"university of minnesota","University of Minnesota","7","7","University of Minnesota:7"
"georgetown university","Georgetown University","7","7","Georgetown University:7"
"university of kansas","University of Kansas","7","7","University of Kansas:7"
"george washington university","George Washington University","7","7","George Washington University:7"
"syracuse university","Syracuse University","7","7","Syracuse University:7"
"heidelberg university","Heidelberg University","7","7","Heidelberg University:7"
"university of notre dame","University of Notre Dame","7","7","University of Notre Dame:7"
"university of kentucky","University of Kentucky","7","7","University of Kentucky:7"
"georgia state university","Georgia State University","7","7","Georgia State University:7"
"university of glasgow","University of Glasgow","7","7","University of Glasgow:7"
"wake forest university","Wake Forest University","7","7","Wake Forest University:7"
"university of bristol","University of Bristol","7","7","University of Bristol:7"
"wayne state university","Wayne State University","7","7","Wayne State University:7"
"washington state university","Washington State University","7","7","Washington State University:7"
"university of pittsburgh","University of Pittsburgh","7","7","University of Pittsburgh:7"
"university of calgary","University of Calgary","7","7","University of Calgary:7"
"university of oklahoma","University of Oklahoma","7","7","University of Oklahoma:7"
