"UniversityNorm","UniversityDisplay","FinalCountryNorm","DistinctCountries","CountryBreakdown","UniqueLenders","TotalRows","Status","RawCountryValues","RawNameValues"
"a t still university","A. T. Still University","united states of america","1","united states of america:2","2","2","PASS","United States of America","A. T. Still University"
"aalborg university","Aalborg University","denmark","1","denmark:4","4","4","PASS","Denmark","Aalborg University"
"aalto university","Aalto University","finland","1","finland:4","4","4","PASS","Finland","Aalto University"
"aarhus university","Aarhus University","denmark","1","denmark:4","4","4","PASS","Denmark","Aarhus University"
"abant izzet baysal university","Abant Izzet Baysal University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Abant Izzet Baysal University"
"abdullah gul university kayseri","Abdullah Gul University Kayseri","united states of america","1","united states of america:1","1","1","PASS","United States of America","Abdullah Gul University Kayseri"
"aberystwyth university","Aberystwyth University","united kingdom","1","united kingdom:3","3","3","PASS","United Kingdom","Aberystwyth University"
"abilene christian university","Abilene Christian University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Abilene Christian University"
"abo akademi university","Abo Akademi University","finland","1","finland:3","3","3","PASS","Finland","Abo Akademi University"
"abu dhabi university","Abu Dhabi University","united arab emirates","1","united arab emirates:3","3","3","PASS","United Arab Emirates","Abu Dhabi University"
"abylkas saginov karaganda technical university","Abylkas Saginov Karaganda Technical University","kazakhstan","1","kazakhstan:3","3","3","PASS","Kazakhstan","Abylkas Saginov Karaganda Technical University"
"acadia university","Acadia University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Acadia University"
"acibadem university","Acibadem University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Acibadem University"
"adam mickiewicz university","Adam Mickiewicz University","poland","1","poland:4","3","4","PASS","Poland","Adam Mickiewicz University"
"addis ababa university","Addis Ababa University","ethiopia","1","ethiopia:3","3","3","PASS","Ethiopia","Addis Ababa University"
"adelphi university","Adelphi University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Adelphi University"
"adiyaman university","Adiyaman University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Adiyaman University"
"adnan menderes university","Adnan Menderes University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Adnan Menderes University"
"afyon kocatepe university","Afyon Kocatepe University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Afyon Kocatepe University"
"aga khan university","Aga Khan University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Aga Khan University"
"agh university of krakow","AGH University of Krakow","poland","1","poland:4","3","4","PASS","Poland","AGH University of Krakow"
"agri mountain university","Agri Mountain University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Agri Mountain University"
"agricultural university of athens","Agricultural University of Athens","united states of america","1","united states of america:1","1","1","PASS","United States of America","Agricultural University of Athens"
"agricultural university of krakow","Agricultural University of Krakow","united states of america","1","united states of america:1","1","1","PASS","United States of America","Agricultural University of Krakow"
"agroparistech","AgroParisTech","france","1","france:1","1","1","PASS","France","AgroParisTech"
"ahi evran university","Ahi Evran University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ahi Evran University"
"ahlia university","Ahlia University","bahrain","1","bahrain:3","3","3","PASS","Bahrain","Ahlia University"
"ahmadu bello university","Ahmadu Bello University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ahmadu Bello University"
"ahvaz jundishapur university of medical sciences","Ahvaz Jundishapur University of Medical Sciences","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ahvaz Jundishapur University of Medical Sciences"
"aichi medical university","Aichi Medical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Aichi Medical University"
"ain shams university","Ain Shams University","egypt","1","egypt:3","3","3","PASS","Egypt","Ain Shams University"
"air university islamabad","Air University Islamabad","united states of america","1","united states of america:1","1","1","PASS","United States of America","Air University Islamabad"
"aix marseille university","Aix-Marseille University","france","1","france:3","3","3","PASS","France","Aix-Marseille University"
"ajman university","Ajman University","united arab emirates","1","united arab emirates:3","3","3","PASS","United Arab Emirates","Ajman University"
"ajou university","Ajou University","south korea","1","south korea:3","3","3","PASS","South Korea","Ajou University"
"akdeniz university","Akdeniz University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Akdeniz University"
"akita university","Akita University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Akita University"
"aksaray university","Aksaray University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Aksaray University"
"al ahliyya amman university","Al-Ahliyya Amman University","jordan","1","jordan:4","3","4","PASS","Jordan","Al-Ahliyya Amman University"
"al ain university","Al Ain University","united arab emirates","1","united arab emirates:3","3","3","PASS","United Arab Emirates","Al Ain University"
"al azhar university","Al Azhar University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Azhar University"
"al baha university","Al Baha University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Baha University"
"al balqa applied university","Al Balqa Applied University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Balqa Applied University"
"al farabi kazakh national university","Al-Farabi Kazakh National University","kazakhstan","1","kazakhstan:3","3","3","PASS","Kazakhstan","Al-Farabi Kazakh National University"
"al furat al awsat technical university","Al Furat Al Awsat Technical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Furat Al Awsat Technical University"
"al imam muhammad ibn saud islamic university","Al Imam Muhammad Ibn Saud Islamic University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Imam Muhammad Ibn Saud Islamic University"
"al jouf university","Al Jouf University","saudi arabia","1","saudi arabia:3","3","3","PASS","Saudi Arabia","Al Jouf University"
"al nahrain university","Al Nahrain University","iraq","1","iraq:3","3","3","PASS","Iraq","Al Nahrain University"
"al quds university","Al-Quds University","palestine","1","palestine:3","3","3","PASS","Palestine","Al-Quds University"
"al quds university arab university in jerusalem","Al Quds University Arab University in Jerusalem","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Quds University Arab University in Jerusalem"
"alabama a and m university","Alabama A&M University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Alabama A&M University"
"alagappa university","Alagappa University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Alagappa University"
"albany college of pharmacy and health sciences","Albany College of Pharmacy and Health Sciences","united states of america","1","united states of america:1","1","1","PASS","United States of America","Albany College of Pharmacy and Health Sciences"
